City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
107,Kaeo,NZ,2022-01-23 18:26:07,-35.1,173.7833,68.32,95,100,9.48,light rain
108,Upernavik,GL,2022-01-23 18:26:07,72.7868,-56.1549,-14.85,65,6,5.44,clear sky
109,Georgetown,MY,2022-01-23 18:16:33,5.4112,100.3354,80.89,87,20,0.0,few clouds
110,Codrington,AU,2022-01-23 18:17:40,-38.2667,141.9667,70.47,52,100,8.37,overcast clouds
111,Cayenne,GF,2022-01-23 18:17:41,4.9333,-52.3333,78.1,88,75,1.01,mist
112,Svetlyy,RU,2022-01-23 18:26:08,54.675,20.1347,32.97,88,58,7.18,broken clouds
113,Tezu,IN,2022-01-23 18:26:08,27.9167,96.1667,59.16,49,100,3.85,overcast clouds
114,Juneau,US,2022-01-23 18:26:08,58.3019,-134.4197,40.84,97,100,4.61,mist
115,Dingle,PH,2022-01-23 18:26:08,10.9995,122.6711,74.5,93,92,6.64,overcast clouds
116,Norsup,VU,2022-01-23 18:26:09,-16.0667,167.3833,81.61,81,69,5.61,broken clouds
117,Ust-Maya,RU,2022-01-23 18:26:09,60.4167,134.5333,-13.5,100,100,0.96,overcast clouds
118,Berlevag,NO,2022-01-23 18:26:09,70.8578,29.0864,37.4,81,100,31.85,overcast clouds
119,Kushmurun,KZ,2022-01-23 18:26:10,52.4503,64.6311,-3.33,95,94,6.46,overcast clouds
120,Cururupu,BR,2022-01-23 18:26:10,-1.8283,-44.8683,84.22,69,39,6.53,moderate rain
121,Provideniya,RU,2022-01-23 18:26:10,64.3833,-173.3,3.4,97,100,7.43,light snow
122,Ponta Do Sol,PT,2022-01-23 18:17:37,32.6667,-17.1,68.72,77,90,5.14,overcast clouds
123,Moerai,PF,2022-01-23 18:26:11,-22.4333,-151.3333,79.5,79,100,21.88,light rain
124,Najran,SA,2022-01-23 18:26:11,17.4924,44.1277,59.65,38,21,4.29,few clouds
125,Carmen,MX,2022-01-23 18:26:11,18.6333,-91.8333,77.04,78,75,7.16,mist
126,Kaseda,JP,2022-01-23 18:26:11,31.4167,130.3167,55.85,90,98,6.2,overcast clouds
127,Enna,IT,2022-01-23 18:26:12,37.5588,14.2892,43.56,70,0,6.91,clear sky
128,Narsaq,GL,2022-01-23 18:23:04,60.9167,-46.05,19.62,73,91,10.92,overcast clouds
129,Ponnampet,IN,2022-01-23 18:26:12,12.15,75.9333,57.9,94,6,1.41,clear sky
130,Quelimane,MZ,2022-01-23 18:22:39,-17.8786,36.8883,75.38,97,99,7.18,moderate rain
131,Huangmei,CN,2022-01-23 18:26:13,30.1924,116.025,45.37,93,100,1.14,overcast clouds
132,Ogbomosho,NG,2022-01-23 18:26:13,8.133,4.25,84.83,17,20,5.93,few clouds
133,Orizona,BR,2022-01-23 18:26:13,-17.0314,-48.2958,86.18,42,17,3.91,few clouds
134,Umm Kaddadah,SD,2022-01-23 18:26:14,13.6017,26.6876,66.24,14,15,12.97,few clouds
135,Atasu,KZ,2022-01-23 18:26:14,48.6814,71.6433,10.42,88,100,4.83,overcast clouds
136,Japura,ID,2022-01-23 18:26:14,-0.3167,102.35,73.89,96,99,1.54,overcast clouds
137,Fairhope,US,2022-01-23 18:26:15,30.523,-87.9033,50.05,38,0,4.0,clear sky
138,Haines Junction,CA,2022-01-23 18:27:15,60.7522,-137.5108,24.75,74,80,2.3,broken clouds
139,Necochea,AR,2022-01-23 18:23:42,-38.5473,-58.7368,79.03,53,74,12.24,broken clouds
140,Mamlyutka,KZ,2022-01-23 18:27:15,54.9375,68.5394,-10.8,100,85,0.74,overcast clouds
141,Belle Fourche,US,2022-01-23 18:27:16,44.6714,-103.8522,52.9,35,100,22.08,overcast clouds
142,San Quintin,MX,2022-01-23 18:27:16,30.4833,-115.95,63.14,44,0,1.97,clear sky
143,Caravelas,BR,2022-01-23 18:27:17,-17.7125,-39.2481,83.26,57,86,8.28,overcast clouds
144,Grindavik,IS,2022-01-23 18:27:17,63.8424,-22.4338,30.15,100,75,31.07,snow
145,Te Anau,NZ,2022-01-23 18:23:10,-45.4167,167.7167,42.94,95,36,1.52,scattered clouds
146,Kupang,ID,2022-01-23 18:27:17,-10.1667,123.5833,75.78,100,40,3.44,scattered clouds
147,Dudinka,RU,2022-01-23 18:27:17,69.4058,86.1778,-16.13,100,99,4.12,overcast clouds
148,Araouane,ML,2022-01-23 18:27:18,18.9048,-3.5265,71.74,12,48,11.88,scattered clouds
149,Healdsburg,US,2022-01-23 18:27:18,38.6105,-122.8692,60.69,65,0,2.46,clear sky
150,Piacabucu,BR,2022-01-23 18:27:18,-10.4056,-36.4344,85.91,57,90,9.91,overcast clouds
151,Souillac,MU,2022-01-23 18:27:19,-20.5167,57.5167,81.36,83,40,8.05,scattered clouds
152,Sitka,US,2022-01-23 18:27:19,57.0531,-135.33,39.09,93,100,5.75,mist
153,Port-Gentil,GA,2022-01-23 18:27:19,-0.7193,8.7815,78.76,89,40,6.91,scattered clouds
154,Hamilton,US,2022-01-23 18:24:18,39.1834,-84.5333,37.76,72,100,1.01,overcast clouds
155,Victoria,HK,2022-01-23 18:25:30,22.2855,114.1577,68.95,92,99,1.01,light rain
156,Ancud,CL,2022-01-23 18:27:20,-41.8697,-73.8203,68.43,72,98,11.54,overcast clouds
157,Salvador,SV,2022-01-23 18:27:20,13.8333,-88.9167,88.2,34,12,3.47,few clouds
158,Kaura Namoda,NG,2022-01-23 18:27:20,12.5898,6.5779,75.16,14,52,9.98,broken clouds
159,Lixourion,GR,2022-01-23 18:27:21,38.2019,20.4314,35.46,52,28,20.24,scattered clouds
160,Valle De Guadalupe,MX,2022-01-23 18:27:21,21.0,-102.6167,67.73,35,64,4.12,broken clouds
161,Lompoc,US,2022-01-23 18:27:21,34.6391,-120.4579,71.13,54,0,4.61,clear sky
162,Kirovo-Chepetsk,RU,2022-01-23 18:27:22,58.5539,50.0399,4.91,100,92,3.02,overcast clouds
163,Tommot,RU,2022-01-23 18:27:22,58.9564,126.2925,-0.8,98,100,4.74,overcast clouds
164,Lavrentiya,RU,2022-01-23 18:27:22,65.5833,-171.0,-4.88,100,100,4.97,overcast clouds
165,Zyryanka,RU,2022-01-23 18:27:22,65.75,150.85,-30.28,98,100,2.95,overcast clouds
166,Bochnia,PL,2022-01-23 18:27:23,49.9691,20.4303,30.38,80,100,0.2,overcast clouds
167,Dikson,RU,2022-01-23 18:27:23,73.5069,80.5464,-11.15,100,100,12.17,overcast clouds
168,Isangel,VU,2022-01-23 18:27:23,-19.55,169.2667,79.92,82,9,2.37,clear sky
169,Carnarvon,AU,2022-01-23 18:27:24,-24.8667,113.6333,80.67,61,7,20.71,clear sky
170,Vestmanna,FO,2022-01-23 18:27:24,62.1564,-7.1664,40.12,81,100,23.02,drizzle
171,Maler Kotla,IN,2022-01-23 18:27:24,30.5167,75.8833,49.33,91,61,3.0,broken clouds
172,Bethel,US,2022-01-23 18:27:24,41.3712,-73.414,36.46,50,0,3.0,light rain
173,Anadyr,RU,2022-01-23 18:27:25,64.75,177.4833,-17.9,75,75,11.01,broken clouds
174,Nanortalik,GL,2022-01-23 18:27:25,60.1432,-45.2371,22.03,81,92,6.24,overcast clouds
175,Hovd,MN,2022-01-23 18:27:25,48.0056,91.6419,-1.71,74,0,5.91,clear sky
176,Khatanga,RU,2022-01-23 18:27:26,71.9667,102.5,-19.84,100,95,1.74,overcast clouds
